unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,B-E,EMP_DC,EU15	25216.17 	25116.98 	25062.20 	25136.87 	25465.56 	25628.87 	25682.23 	26422.73 	27827.86 	27822.43 	27822.64 	28010.36 	28434.50 	28983.92 	29585.29 	30140.47 	30272.04 	30256.08 	30427.02 	30176.23 	30247.49 	30444.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,EU28	35618.15 	35231.25 	35125.36 	35002.34 	35347.09 	35745.33 	35619.59 	36833.51 	39088.90 	38925.60 	38771.16 	38776.43 	39230.67 	39606.39 	40362.31 	41046.06 	41378.02 	41646.80 	42357.19 	42337.44 	42390.74 	42493.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,FI	372.30 	370.90 	375.70 	386.00 	400.30 	400.70 	396.40 	415.00 	456.60 	450.00 	445.30 	441.20 	439.80 	450.90 	463.60 	473.60 	469.70 	462.00 	454.10 	442.70 	428.30 	426.00 	408.10 	403.80 	429.70 	473.30 	516.40 	527.60 	532.50 	538.60 	547.20 	564.50 	569.00 	576.10 	585.90 	597.00 	599.10 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,FR	2933.00 p	2963.00 p	2991.00 	3006.00 	3027.00 	3041.00 	3066.00 	3189.00 	3318.00 	3362.00 	3395.00 	3454.00 	3521.00 	3628.00 	3691.00 	3753.00 	3727.00 	3699.00 	3711.00 	3709.00 	3739.00 	3765.00 	3752.00 	3839.00 	4015.00 	4139.00 	4201.00 	4186.00 	4171.00 	4230.00 	4331.00 	4415.00 	4539.00 	4685.00 	4767.00 	4843.00 	5006.00 	5065.00 	5147.00 	5328.00 	5328.00 	5343.00 
THS_PER,B-E,EMP_DC,HR	317.20 d	314.83 d	318.98 d	313.45 d	328.71 d	336.95 d	337.29 d	353.73 d	384.11 d	381.54 p	371.27 p	364.34 p	367.32 p	368.63 p	366.24 p	373.19 p	379.62 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,HU	880.50 	857.65 	861.27 	836.48 	881.32 	910.98 	891.27 	915.50 	967.49 	979.84 	992.32 	991.63 	1021.19 	1062.88 	1108.45 	1110.89 	1094.56 	1100.94 	1089.27 	1042.46 	1022.81 	1032.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,IE	234.04 	225.46 	217.05 	218.45 	212.56 	218.06 b	247.69 	261.79 	290.63 	300.90 	298.83 	295.87 	298.07 	301.27 	308.46 	320.34 	317.21 	310.84 	304.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,IT	4181.90 	4151.60 	4179.20 	4251.10 	4369.60 	4439.90 	4470.20 	4633.30 	4855.80 	4905.90 	4883.00 	4832.90 	4868.80 	4923.20 	4897.70 	4873.30 	4882.70 	4911.00 	4940.30 	4855.90 	4876.70 	4933.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,LI	: 	11.52 	11.64 	11.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,LT	238.55 	229.56 	226.56 	230.49 	230.27 	222.57 	219.32 	240.00 	280.30 	279.62 	274.32 	290.52 	281.80 	291.45 	286.18 	272.10 	284.90 	297.59 	304.29 	299.99 	298.17 	302.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
