unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,K,EMP_DC,EU28	5963.24 	5985.53 	5996.47 	6045.23 	6139.54 	6095.35 	6084.99 	6205.88 	6212.84 	6194.70 	6066.36 	5951.61 	5902.88 	5906.45 	5930.82 	5898.14 	5846.21 	5769.16 	5716.42 	5674.77 	5646.46 	5684.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,FI	46.10 	44.80 	44.80 	46.40 	47.00 	47.40 	46.60 	46.30 	46.50 	44.60 	44.00 	42.40 	41.70 	42.80 	43.40 	42.40 	42.30 	39.80 	41.20 	42.90 	44.70 	48.30 	51.50 	52.80 	57.20 	62.00 	66.10 	70.00 	68.70 	67.60 	64.20 	62.90 	59.10 	57.80 	56.60 	55.80 	54.60 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,FR	792.00 p	789.00 p	784.00 	783.00 	783.00 	777.00 	768.00 	767.00 	761.00 	764.00 	747.00 	742.00 	730.00 	735.00 	729.00 	710.00 	693.00 	686.00 	688.00 	690.00 	693.00 	698.00 	695.00 	695.00 	708.00 	719.00 	720.00 	721.00 	717.00 	712.00 	706.00 	700.00 	692.00 	682.00 	671.00 	660.00 	650.00 	641.00 	629.00 	608.00 	592.00 	573.00 
THS_PER,K,EMP_DC,HR	38.30 d	37.81 d	36.87 d	39.80 d	39.51 d	39.59 d	38.85 d	38.30 d	37.89 d	36.11 p	34.45 p	32.47 p	31.28 p	30.95 p	30.17 p	29.70 p	30.30 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,HU	89.39 	89.54 	92.40 	92.76 	94.74 	93.67 	94.68 	97.04 	96.24 	90.33 	88.92 	85.45 	84.80 	77.17 	79.16 	82.06 	86.53 	83.52 	84.08 	85.15 	86.76 	84.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,IE	79.86 	80.69 	81.29 	81.23 	83.61 	84.24 b	93.45 	99.36 	96.81 	93.12 	87.83 	85.63 	82.90 	75.25 	71.07 	70.97 	69.11 	63.97 	57.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,IT	681.30 	674.40 	669.10 	669.70 	681.90 	684.70 	690.30 	699.90 	710.30 	707.90 	687.10 	670.90 	667.70 	658.90 	655.50 	653.30 	647.00 	648.70 	658.00 	651.00 	651.70 	664.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,LI	: 	3.30 	3.24 	3.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,LT	19.58 	18.61 	18.41 	17.68 	18.20 	17.74 	20.28 	20.11 	18.87 	21.39 	15.75 	16.29 	14.90 	17.07 	14.28 	11.17 	14.75 	15.41 	15.75 	14.20 	14.12 	15.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,LU	46.04 	44.66 	43.55 	42.61 	42.10 	41.34 	40.94 	41.24 	41.27 	38.58 	36.02 	34.28 	33.51 	33.19 	33.50 	33.22 	30.09 	27.50 	25.44 	23.95 	23.03 	22.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,LV	16.43 	15.28 	15.61 	16.09 	16.89 	17.44 	17.18 	19.34 	21.67 	20.25 	18.81 	18.79 	17.22 	16.15 	15.48 	15.17 	14.44 	14.96 e	15.23 e	15.29 e	14.64 e	14.55 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,MK	: 	: 	9.96 	9.51 	9.19 	9.32 	8.96 	8.76 	8.27 	7.52 	7.12 	7.01 	6.45 	6.39 	6.56 	5.78 	5.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,MT	10.30 	10.12 	9.87 	9.74 	9.60 	9.35 	9.10 	8.56 	8.22 	7.75 	7.07 	6.64 	6.31 	6.08 	6.16 	6.29 	6.29 	6.47 	6.24 	6.09 	5.78 	5.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,NL	230.00 p	236.00 p	242.00 p	252.00 	257.00 	261.00 	266.00 	275.00 	279.00 	284.00 	283.00 	274.00 	274.00 	282.00 	288.00 	288.00 	285.00 	276.00 	264.00 	251.00 	238.00 	233.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,NO	48.00 	49.00 	49.00 	50.00 	50.00 	50.00 	52.00 	53.00 	50.00 	49.00 	48.00 	47.00 	49.00 	49.00 	50.00 	50.00 	50.00 	50.00 	49.00 	51.00 	53.00 	54.00 	53.00 	56.00 	57.00 	60.00 	63.00 	64.00 	68.00 	69.00 	67.00 	61.00 	58.00 	55.00 	53.00 	51.00 	49.00 	47.00 	46.00 	45.00 	44.00 	42.00 
THS_PER,K,EMP_DC,PL	384.60 p	396.50 	378.40 	383.10 	392.60 	370.60 	352.70 b	372.10 	341.50 	363.20 	328.70 	294.70 	272.40 	255.90 	258.50 	251.00 	246.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,PT	82.09 e	83.36 e	85.95 	88.70 	91.56 	94.76 	93.79 	92.61 	90.08 	89.38 	85.69 	83.49 	82.17 	85.04 	87.77 	89.76 	94.76 	95.17 	94.43 	97.02 	99.08 	97.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,RO	117.30 p	113.50 p	110.70 	115.20 	123.90 b	99.00 	91.70 	91.50 	98.00 	102.40 	101.20 	93.00 	99.80 	91.80 	89.00 	86.70 	91.30 	90.00 	92.10 	101.90 	103.20 	105.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,SE	95.40 	94.80 	96.10 	96.00 	96.20 	95.60 	94.10 	93.90 	96.60 	92.60 	93.70 	90.30 	91.40 	93.10 	97.80 	96.20 	94.30 	89.70 	89.50 	85.50 	85.50 	84.40 	82.20 	81.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,SI	22.29 	22.69 	22.94 	23.48 	24.18 	24.59 	25.25 	25.46 	25.00 	23.93 	23.13 	22.91 	22.19 	21.69 	21.69 	21.47 	20.34 	19.67 	19.38 	18.53 	18.09 	17.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,SK	46.48 	45.70 	43.94 	42.38 	41.77 	40.61 	40.14 	41.27 	41.12 	38.03 	36.41 	34.26 	33.78 	34.69 	35.23 	36.74 	37.26 	38.58 	37.40 	35.10 	31.57 	28.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,K,EMP_DC,UK	1027.00 	1050.17 	1064.74 	1067.63 	1087.41 	1077.42 	1057.42 	1097.56 	1128.25 	1109.94 	1087.44 	1088.59 	1090.72 	1118.05 	1128.10 	1116.87 	1091.72 	1084.77 	1057.64 	1051.07 	1047.11 	1065.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
