unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,J,EMP_DC,EU28	6780.06 	6664.14 	6501.15 	6363.09 	6281.75 	6196.59 	6100.66 	6171.27 	6211.85 	6131.23 	5988.64 	5787.84 	5721.17 	5683.23 	5723.69 	5665.96 	5437.02 	5120.76 	4927.87 	4711.73 	4575.49 	4463.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,FI	98.80 	99.60 	98.40 	98.80 	95.90 	94.60 	93.50 	93.70 	95.80 	93.20 	94.30 	91.90 	91.60 	91.70 	93.20 	92.40 	84.50 	76.00 	69.70 	62.90 	61.00 	59.10 	57.50 	59.80 	61.70 	64.80 	67.10 	67.60 	66.60 	64.80 	63.20 	61.90 	59.30 	56.20 	54.70 	53.70 	51.50 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,FR	832.00 p	816.00 p	808.00 	809.00 	802.00 	784.00 	774.00 	779.00 	790.00 	773.00 	751.00 	731.00 	740.00 	735.00 	753.00 	761.00 	728.00 	680.00 	635.00 	605.00 	611.00 	598.00 	587.00 	578.00 	568.00 	554.00 	540.00 	526.00 	501.00 	481.00 	465.00 	457.00 	449.00 	443.00 	435.00 	426.00 	421.00 	412.00 	399.00 	386.00 	374.00 	365.00 
THS_PER,J,EMP_DC,HR	49.23 d	42.18 d	42.10 d	36.52 d	36.29 d	42.36 d	44.99 d	42.56 d	39.67 d	39.18 p	37.99 p	36.55 p	36.38 p	36.20 p	35.05 p	34.46 p	33.70 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,HU	130.26 	122.14 	118.59 	110.37 	102.29 	100.10 	94.98 	91.65 	100.15 	98.92 	99.07 	87.53 	84.66 	91.01 	86.50 	87.10 	78.57 	69.95 	68.31 	61.35 	65.32 	67.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,IE	74.47 	71.52 	70.04 	69.47 	69.07 	65.99 b	75.70 	74.76 	72.02 	69.45 	69.05 	67.29 	62.05 	62.61 	65.93 	63.92 	62.24 	61.39 	53.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,IT	595.50 	592.00 	577.40 	585.40 	591.30 	595.00 	597.30 	609.10 	603.50 	603.20 	605.20 	584.30 	583.00 	590.70 	588.90 	562.90 	539.30 	501.70 	469.40 	445.80 	437.60 	419.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,LI	: 	0.80 	0.75 	0.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,LT	28.70 	27.24 	23.91 	24.75 	28.32 	25.48 	22.12 	22.92 	24.35 	21.77 	18.32 	19.55 	18.75 	14.93 	16.56 	19.27 	18.44 	19.26 	19.70 	18.18 	18.07 	19.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,LU	17.24 	16.64 	16.09 	15.49 	15.11 	14.83 	14.05 	13.66 	13.50 	12.65 	11.34 	10.40 	9.77 	9.62 	9.75 	9.72 	8.77 	7.79 	7.06 	6.29 	5.90 	5.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,LV	28.63 	27.81 	26.88 	24.12 	21.75 	21.54 	19.94 	19.59 	22.19 	21.52 	18.14 	19.72 	24.79 	24.55 	24.16 	22.35 	23.40 	24.22 e	24.67 e	24.76 e	23.70 e	23.57 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,MK	: 	: 	11.52 	10.77 	10.60 	10.19 	9.78 	12.04 	10.75 	10.41 	9.76 	9.78 	10.60 	10.48 	10.45 	10.62 	10.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,MT	8.48 	7.58 	7.13 	6.43 	5.94 	5.59 	5.09 	4.97 	4.77 	4.17 	3.97 	3.86 	3.56 	3.81 	3.86 	3.91 	3.81 	4.19 	4.30 	4.43 	4.35 	4.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,NL	276.00 p	267.00 p	261.00 p	256.00 	259.00 	256.00 	252.00 	260.00 	265.00 	257.00 	247.00 	240.00 	233.00 	236.00 	247.00 	264.00 	246.00 	227.00 	209.00 	184.00 	164.00 	149.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,NO	91.00 	92.00 	91.00 	89.00 	88.00 	87.00 	86.00 	86.00 	85.00 	84.00 	84.00 	83.00 	83.00 	83.00 	91.00 	92.00 	85.00 	78.00 	76.00 	74.00 	69.00 	67.00 	65.00 	63.00 	62.00 	61.00 	61.00 	63.00 	62.00 	62.00 	61.00 	58.00 	56.00 	56.00 	54.00 	54.00 	53.00 	52.00 	50.00 	48.00 	46.00 	43.00 
THS_PER,J,EMP_DC,PL	362.50 p	374.60 	360.10 	332.80 	315.40 	298.90 	299.70 b	316.10 	296.70 	285.50 	252.70 	215.90 	217.90 	201.90 	196.70 	194.90 	187.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,PT	84.33 e	82.09 e	78.43 	74.73 	73.84 	72.33 	71.17 	70.14 	67.67 	64.02 	61.92 	60.28 	58.21 	56.85 	57.19 	55.18 	56.95 	55.60 	54.47 	53.31 	51.39 	49.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,RO	198.50 p	197.10 p	147.40 	143.20 	145.40 b	126.00 	124.50 	122.10 	123.50 	131.90 	124.30 	124.20 	137.10 	126.20 	125.80 	115.20 	114.80 	114.50 	120.20 	133.20 	135.00 	137.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,SE	178.10 	175.90 	176.40 	173.10 	171.30 	167.70 	166.60 	168.90 	173.30 	167.40 	162.90 	161.20 	160.00 	162.80 	170.20 	179.10 	166.80 	147.00 	136.60 	126.90 	126.90 	121.80 	114.30 	108.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,SI	28.53 	27.68 	26.87 	26.18 	25.59 	25.04 	24.97 	24.79 	23.84 	22.51 	20.95 	19.54 	18.55 	18.47 	18.12 	17.23 	16.61 	15.60 	14.61 	13.76 	14.38 	13.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,SK	63.56 	60.92 	59.26 	57.01 	54.70 	55.45 	50.20 	52.41 	50.98 	48.23 	46.24 	42.56 	40.42 	40.95 	40.57 	45.01 	44.52 	41.75 	43.21 	41.27 	41.86 	41.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,J,EMP_DC,UK	1310.82 	1309.13 	1278.77 	1216.42 	1179.70 	1170.87 	1118.74 	1122.82 	1155.68 	1177.17 	1159.45 	1134.80 	1111.77 	1133.02 	1116.81 	1102.24 	1072.95 	1041.25 	1016.71 	971.46 	898.68 	877.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
