unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,F,EMP_DC,EU28	14639.30 	14495.69 	14429.01 	14517.98 	14953.30 	15507.73 	15936.35 	16722.51 	17627.47 	17613.90 	16858.04 	16245.01 	15743.09 	15432.43 	15330.47 	15338.59 	14895.72 	14619.38 	14385.86 	14293.14 	14260.99 	14436.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,FI	199.70 	190.30 	188.00 	190.40 	193.00 	193.60 	188.60 	186.50 	199.00 	191.70 	181.10 	173.60 	164.70 	160.20 	158.80 	156.50 	158.90 	152.90 	146.50 	140.40 	125.10 	119.70 	118.90 	133.70 	157.90 	184.30 	211.90 	207.00 	194.20 	188.50 	188.50 	184.60 	188.00 	187.60 	182.40 	178.60 	179.40 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,FR	1743.00 p	1767.00 p	1818.00 	1832.00 	1834.00 	1841.00 	1843.00 	1869.00 	1864.00 	1813.00 	1732.00 	1658.00 	1592.00 	1566.00 	1557.00 	1522.00 	1479.00 	1420.00 	1394.00 	1404.00 	1441.00 	1478.00 	1483.00 	1529.00 	1623.00 	1704.00 	1726.00 	1709.00 	1665.00 	1634.00 	1618.00 	1611.00 	1658.00 	1763.00 	1833.00 	1873.00 	1896.00 	1881.00 	1877.00 	1924.00 	1917.00 	1916.00 
THS_PER,F,EMP_DC,HR	112.51 d	109.48 d	104.26 d	108.40 d	109.22 d	117.99 d	127.51 d	156.77 d	163.07 d	154.48 p	147.18 p	136.76 p	132.14 p	127.86 p	119.48 p	111.33 p	111.67 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,HU	266.19 	269.15 	267.31 	258.75 	258.71 	259.71 	265.55 	286.98 	305.22 	313.79 	307.60 	303.62 	298.24 	291.18 	254.81 	252.12 	250.86 	249.74 	227.41 	217.52 	216.37 	215.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,IE	148.77 	138.98 	123.18 	115.92 	115.68 	121.59 b	121.88 	159.32 	240.93 	271.86 	261.38 	234.30 	203.84 	182.38 	176.77 	174.42 	163.24 	140.98 	124.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,IT	1503.80 	1553.80 	1578.00 	1643.10 	1778.50 	1867.60 	1911.90 	1945.30 	1966.10 	1960.70 	1894.80 	1866.50 	1774.80 	1716.30 	1656.10 	1616.30 	1507.30 	1467.70 	1429.50 	1446.90 	1437.20 	1447.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,LI	: 	2.58 	2.61 	2.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,LT	103.37 	104.83 	99.06 	99.06 	89.36 	84.99 	86.77 	113.11 	154.24 	162.90 	159.44 	127.85 	112.99 	105.07 	91.40 	83.83 	83.86 	87.60 	89.57 	88.60 	88.06 	88.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,LU	42.74 	41.65 	40.95 	40.30 	40.32 	39.87 	38.99 	38.90 	39.16 	37.79 	35.87 	34.43 	33.28 	32.28 	31.38 	30.03 	28.55 	27.54 	26.87 	26.20 	25.90 	25.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,LV	68.96 	69.57 	66.71 	64.56 	60.81 	61.66 	58.37 	72.80 	108.65 	108.17 	97.08 	69.41 	67.63 	64.35 	58.29 	64.86 	55.61 	57.55 e	58.60 e	58.81 e	56.31 e	56.00 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
