unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,C,EMP_DC,EU15	22975.51 	22872.52 	22826.62 	22887.81 	23213.31 	23403.46 	23476.61 	24251.26 	25675.47 	25674.00 	25704.85 	25917.98 	26352.14 	26900.27 	27485.55 	28025.81 	28137.14 	28112.86 	28249.99 	27981.49 	28020.02 	28191.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,EU28	32089.62 	31683.43 	31507.65 	31395.46 	31739.82 	32105.68 	32016.83 	33275.56 	35496.98 	35359.42 	35221.46 	35256.15 	35707.29 	36116.35 	36787.44 	37427.57 	37634.93 	37790.06 	38382.13 	38316.99 	38328.42 	38418.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,FI	338.00 	339.30 	343.60 	353.50 	367.60 	368.80 	364.80 	383.00 	426.10 	420.50 	415.70 	412.60 	411.80 	422.70 	434.70 	444.00 	440.20 	431.80 	423.80 	411.50 	397.80 	395.40 	376.90 	371.70 	394.40 	437.10 	479.40 	489.90 	494.50 	500.10 	508.30 	524.90 	530.10 	536.80 	546.40 	557.00 	560.10 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,FR	2626.00 p	2653.00 p	2682.00 	2696.00 	2720.00 	2738.00 	2764.00 	2893.00 	3035.00 	3073.00 	3108.00 	3167.00 	3237.00 	3346.00 	3405.00 	3466.00 	3446.00 	3430.00 	3443.00 	3442.00 	3475.00 	3501.00 	3490.00 	3577.00 	3748.00 	3869.00 	3927.00 	3907.00 	3887.00 	3945.00 	4043.00 	4122.00 	4241.00 	4385.00 	4476.00 	4556.00 	4721.00 	4779.00 	4860.00 	5038.00 	5038.00 	5052.00 
THS_PER,C,EMP_DC,HR	272.11 d	265.00 d	269.87 d	262.49 d	275.13 d	281.40 d	281.92 d	306.25 d	330.73 d	329.73 p	319.65 p	314.01 p	317.92 p	320.63 p	319.60 p	325.34 p	331.67 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,HU	795.76 	775.59 	775.80 	754.27 	790.74 	816.53 	795.38 	819.42 	873.51 	883.44 	887.10 	888.71 	920.48 	959.49 	997.51 	995.47 	973.12 	968.61 	948.44 	899.96 	882.92 	880.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,IE	211.80 	202.89 	195.92 	196.11 	190.52 	195.30 b	216.50 	230.16 	254.55 	264.78 	264.24 	264.64 	270.30 	275.84 	283.36 	295.71 	294.78 	288.94 	283.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,IT	3867.90 	3838.10 	3868.10 	3941.00 	4057.20 	4135.30 	4166.20 	4328.30 	4551.00 	4598.50 	4572.10 	4531.80 	4572.40 	4620.60 	4593.00 	4569.30 	4574.00 	4606.50 	4640.80 	4559.90 	4577.40 	4636.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,LI	: 	11.17 	11.26 	11.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,LT	210.06 	202.66 	198.41 	199.28 	200.15 	194.78 	191.65 	208.32 	243.07 	242.66 	244.97 	254.39 	242.07 	251.77 	246.72 	229.00 	241.63 	252.38 	258.07 	258.42 	256.86 	256.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
