unit,coico,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,C083,IT	0 	19605.0 	20370.2 	21039.5 	21904.3 	22560.2 	23207.8 	23117.7 	23448.5 	23487.5 	21454.5 	20643.1 	20121.8 	19467.0 	18575.5 	17162.2 	15371.6 	13699.7 	11763.0 	10688.2 	9873.8 	8914.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,LT	0 	1008.2 	968.8 	916.1 	808.2 	675.1 	648.0 	636.3 	507.2 	414.7 	346.1 	319.1 	308.1 	308.7 	291.5 	281.4 	245.3 	216.2 	217.3 	199.4 	105.6 	97.4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,LU	0 	362.4 	335.0 	324.9 	328.2 	296.7 	281.1 	253.2 	224.0 	208.6 	195.4 	177.9 	161.0 	144.7 	129.0 	113.9 	99.3 	89.1 	73.7 	67.8 	63.9 	62.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,LV	0 	642.0 	627.4 	639.9 	537.6 	478.9 	467.0 	468.1 	485.5 	448.8 	358.2 	250.7 	215.8 	164.9 	115.2 	84.1 	72.2 	73.5 	53.4 	44.5 	67.0 	86.2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,MT	275.1 	254.5 	215.8 	195.4 	176.0 	161.8 	141.7 	125.9 	128.5 	129.0 	116.1 	114.6 	130.3 	145.7 	142.0 	138.1 	141.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,NL	0 	9200.6 	9112.2 	8880.2 	8858.1 	9032.7 	9255.8 	9688.9 	10273.3 	10452.3 	10281.1 	10038.0 	9659.1 	9674.5 	9406.1 	8565.3 	7069.5 	5734.9 	4222.5 	3222.6 	2717.8 	2470.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,NO	0 	0 	3588.6 	3633.9 	3804.4 	3735.6 	3715.7 	3582.3 	3201.3 	2983.7 	2856.8 	2688.4 	2561.1 	2096.2 	1912.8 	1878.5 	1660.8 	1450.0 	1044.0 	838.9 	792.6 	686.3 	561.0 	523.3 	419.6 	454.6 	387.4 	437.2 	402.0 	319.1 	324.6 	273.6 	246.8 	225.4 	196.8 	188.3 	171.3 	167.9 	150.0 	139.6 	134.1 	122.1 
CLV05_MEUR,C083,L	0 	6457.5 	6677.6 	6733.6 	6257.4 	6609.7 	6412.6 	6031.6 	5775.2 	5279.4 	5078.5 	4987.4 	4549.7 	4288.9 	4065.4 	3748.8 	3315.8 	3064.4 	2189.9 	1485.8 	1356.1 	1258.0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,T	0 	3193.0 	3097.3 	3351.3 	3633.2 	3761.1 	3672.3 	3531.5 	3566.0 	3383.3 	3266.5 	3152.6 	3094.3 	2882.7 	2800.1 	2579.0 	2063.5 	1804.0 	1630.3 	1493.6 	1359.3 	1320.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,RO	0 	4037.8 	3694.6 	3549.0 	3498.5 	3104.2 	3993.0 	1763.8 	1154.8 	1120.9 	893.8 	813.7 	769.9 	933.6 	824.2 	728.5 	666.2 	577.0 	562.4 	838.7 	777.3 	740.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,RS	0 	983.8 	957.3 	942.8 	910.1 	913.0 	858.1 	840.1 	822.2 	726.6 	563.0 	483.2 	434.8 	362.1 	292.9 	259.3 	262.4 	186.9 	213.9 	206.7 	190.0 	181.2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,SE	0 	6582.8 	6271.8 	6050.4 	5950.0 	6131.5 	6025.0 	5585.0 	5202.3 	4997.7 	4630.4 	4365.3 	4160.0 	3850.7 	3529.6 	3162.1 	2656.2 	2330.5 	2148.9 	1866.1 	1649.5 	1461.1 	1310.9 	1230.1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,SI	0 	617.7 	647.8 	651.3 	641.2 	642.7 	639.7 	651.6 	588.0 	555.4 	538.0 	532.1 	463.3 	402.7 	372.5 	298.7 	270.1 	252.3 	214.4 	193.7 	186.2 	174.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MEUR,C083,SK	0 	960.2 	942.4 	935.5 	971.0 	986.4 	1008.7 	1009.9 	964.9 	896.1 	828.1 	726.2 	669.0 	618.0 	578.4 	634.6 	577.9 	532.5 	454.5 	483.3 	441.1 	404.0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
